date,symbol,marketcapname,sector
30-06-2022,SHALPAINTS,Smallcap,Industrials
30-06-2022,ORIENTBELL,Smallcap,Industrials
30-06-2022,TVSMOTOR,Largecap,Auto
30-06-2022,VOLTAMP,Smallcap,FMCG
01-07-2022,SHALPAINTS,Smallcap,Industrials
01-07-2022,TVSMOTOR,Largecap,Auto
01-07-2022,VOLTAMP,Smallcap,FMCG
01-07-2022,INSECTICID,Smallcap,Industrials
04-07-2022,AUTOAXLES,Smallcap,Auto
04-07-2022,FIEMIND,Smallcap,Auto
04-07-2022,LUMAXTECH,Smallcap,Auto
04-07-2022,MONTECARLO,Smallcap,Textiles
05-07-2022,AUTOAXLES,Smallcap,Auto
05-07-2022,FIEMIND,Smallcap,Auto
06-07-2022,ABB,Largecap,FMCG
06-07-2022,AUTOAXLES,Smallcap,Auto
06-07-2022,ELECON,Smallcap,FMCG
06-07-2022,VBL,Largecap,FMCG
07-07-2022,ABB,Largecap,FMCG
07-07-2022,ELECON,Smallcap,FMCG
07-07-2022,KKCL,Smallcap,FMCG
07-07-2022,LUMAXTECH,Smallcap,Auto
07-07-2022,VBL,Largecap,FMCG
08-07-2022,ABB,Largecap,FMCG
08-07-2022,TCPLPACK,Smallcap,Services
08-07-2022,KKCL,Smallcap,FMCG
08-07-2022,LUMAXTECH,Smallcap,Auto
08-07-2022,VBL,Largecap,FMCG
11-07-2022,ABB,Largecap,FMCG
11-07-2022,EICHERMOT,Largecap,Auto
11-07-2022,ELECON,Smallcap,FMCG
11-07-2022,SUPERHOUSE,Smallcap,FMCG
11-07-2022,TCPLPACK,Smallcap,Services
11-07-2022,ASTERDM,Midcap,Pharmaceuticals
11-07-2022,KKCL,Smallcap,FMCG
11-07-2022,LUMAXTECH,Smallcap,Auto
12-07-2022,ELECON,Smallcap,FMCG
12-07-2022,TCPLPACK,Smallcap,Services
12-07-2022,ASTERDM,Midcap,Pharmaceuticals
13-07-2022,GRPLTD,Smallcap,FMCG
13-07-2022,TCPLPACK,Smallcap,Services
13-07-2022,ASTERDM,Midcap,Pharmaceuticals
14-07-2022,GRPLTD,Smallcap,FMCG
14-07-2022,ASTERDM,Midcap,Pharmaceuticals
15-07-2022,GRPLTD,Smallcap,FMCG
15-07-2022,SUPERHOUSE,Smallcap,FMCG
15-07-2022,ASTERDM,Midcap,Pharmaceuticals
15-07-2022,LUMAXTECH,Smallcap,Auto
18-07-2022,GRPLTD,Smallcap,FMCG
18-07-2022,SUPERHOUSE,Smallcap,FMCG
18-07-2022,PSPPROJECT,Smallcap,Realty
18-07-2022,ASTERDM,Midcap,Pharmaceuticals
18-07-2022,LUMAXTECH,Smallcap,Auto
19-07-2022,MAHSEAMLES,Smallcap,Metals
